iter	Passed	Remaining
0	178	178568
1	193	96454
2	207	69102
3	220	55013
4	235	46948
5	252	41906
6	268	38147
7	284	35260
8	298	32867
9	312	30984
10	324	29210
11	340	28069
12	353	26815
13	368	25968
14	381	25055
15	396	24399
16	410	23725
17	423	23091
18	438	22620
19	452	22153
20	467	21772
21	479	21304
22	495	21059
23	509	20704
24	525	20507
25	538	20163
26	553	19936
27	566	19667
28	581	19457
29	595	19261
30	610	19071
31	625	18922
32	640	18762
33	654	18606
34	668	18425
35	684	18331
36	701	18263
37	721	18257
38	740	18243
39	758	18195
40	777	18197
41	796	18158
42	816	18179
43	837	18203
44	854	18141
45	879	18239
46	896	18175
47	909	18041
48	926	17973
49	939	17842
50	956	17796
51	969	17683
52	988	17661
53	1001	17542
54	1019	17512
55	1031	17390
56	1048	17341
57	1062	17261
58	1084	17298
59	1102	17267
60	1119	17226
61	1136	17200
62	1158	17224
63	1185	17330
64	1206	17359
65	1219	17262
66	1235	17198
67	1248	17115
68	1264	17055
69	1277	16973
70	1293	16922
71	1307	16852
72	1323	16803
73	1336	16720
74	1350	16661
75	1365	16607
76	1380	16550
77	1394	16478
78	1409	16426
79	1424	16381
80	1438	16316
81	1454	16283
82	1467	16216
83	1483	16173
84	1495	16102
85	1511	16060
86	1525	16006
87	1541	15978
88	1555	15926
89	1574	15915
90	1587	15859
91	1602	15815
92	1615	15758
93	1629	15707
94	1645	15672
95	1658	15621
96	1673	15583
97	1688	15542
98	1709	15558
99	1724	15522
100	1738	15473
101	1753	15438
102	1769	15413
103	1785	15386
104	1803	15373
105	1821	15359
106	1834	15314
107	1851	15290
108	1864	15243
109	1881	15220
110	1898	15208
111	1919	15219
112	1936	15202
113	1953	15182
114	1973	15185
115	1991	15177
116	2012	15190
117	2030	15178
118	2048	15166
119	2076	15229
120	2090	15188
121	2109	15180
122	2123	15143
123	2139	15112
124	2153	15075
125	2167	15036
126	2182	15002
127	2198	14974
128	2213	14948
129	2229	14923
130	2244	14889
131	2258	14854
132	2273	14820
133	2289	14794
134	2302	14753
135	2318	14727
